0,0.013
5,0.004
10,0.006
15,0.009
20,0.019
25,0.034
30,0.039
35,0.044
40,0.059
45,0.095
50,0.121
55,0.147
60,0.158
65,0.221
70,0.219
75,0.338
80,0.345
85,0.335
90,0.372
95,0.409
100,0.397
105,0.451
110,0.5
115,0.53
120,0.639
125,0.58
130,0.694
135,0.919
140,0.806
145,0.886
150,0.927
155,0.872
160,1.025
165,1.084
170,1.374
175,1.297
180,1.386
185,1.353
190,1.422
195,1.45
200,1.437
205,1.694
210,1.922
215,1.997
220,2.064
225,2.2
230,2.227
235,2.45
240,2.591
245,2.41
250,2.403
255,2.675
260,3.064
265,2.962
270,3.139
275,3.054
280,3.294
285,3.197
290,3.118
295,3.666
300,3.947
305,3.917
310,4.208
315,4.401
320,4.471
325,4.077
330,4.192
335,4.298
340,4.596
345,4.578
350,4.946
355,5.503
360,5.681
365,5.381
370,5.898
375,5.529
380,5.815
385,6.286
390,6.92
395,7.063
400,7.041
405,7.239
410,7.468
415,7.741
420,7.856
425,8.395
430,8.317
435,8.153
440,8.362
445,8.597
450,8.942
455,9.19
460,9.411
465,9.055
470,9.465
475,9.438
480,10.429
485,10.425
490,10.152
495,10.731
500,11.205
505,11.704
510,11.342
515,12.07
520,11.495
525,12.588
530,12.623
535,13.425
540,13.489
545,13.597
550,14.177
555,14.726
560,14.187
565,13.302
570,14.663
575,14.492
580,15.069
585,14.713
590,15.116
595,17.009
600,16.781
605,17.148
610,17.656
615,17.737
620,16.865
625,17.88
630,17.032
635,18.724
640,19.269
645,19.628
650,19.889
655,20.275
660,20.573
665,19.002
670,19.93
675,20.2
680,19.798
685,21.553
690,20.621
695,22.282
700,23.413
705,23.535
710,21.667
715,23.848
720,22.292
725,24.257
730,25.393
735,25.559
740,25.941
745,26.144
750,26.703
755,26.451
760,26.691
765,28.085
770,27.47
775,26.453
780,26.77
785,25.007
790,25.385
795,30.03
800,28.432
